Rodada 1, Cliente 2, Epoca 17, G_loss 8.38089364298274, D_loss 0.08049377670094339, Tempo 16.729445695877075
Rodada 1, Cliente 0, Epoca 11, G_loss 10.072987202516536, D_loss 0.023576580666792114, Tempo 27.192169666290283
Rodada 1, Cliente 3, Epoca 16, G_loss 9.343799762976797, D_loss 0.07094371735951618, Tempo 17.665411949157715
Rodada 1, Cliente 2, Epoca 18, G_loss 7.53436047441504, D_loss 0.06629386224020063, Tempo 16.82214093208313
Rodada 1, Cliente 1, Epoca 12, G_loss 8.167755898207533, D_loss 0.06389697130406055, Tempo 26.56464910507202
Rodada 1, Cliente 3, Epoca 17, G_loss 8.717392778396606, D_loss 0.08014646918194271, Tempo 18.096728086471558
Rodada 1, Cliente 0, Epoca 12, G_loss 8.321057856594983, D_loss 0.053355759268953015, Tempo 27.239304780960083
Rodada 1, Cliente 2, Epoca 19, G_loss 7.056511897719308, D_loss 0.053164356408426226, Tempo 16.54549813270569
Rodada 1, Cliente 3, Epoca 18, G_loss 8.758480167388916, D_loss 0.04189856593301029, Tempo 18.303073406219482
Rodada 1, Cliente 1, Epoca 13, G_loss 8.812640047582443, D_loss 0.07869982671736676, Tempo 26.375251293182373
Rodada 1, Cliente 2, Epoca 20, G_loss 7.878489172860478, D_loss 0.05457640993291135, Tempo 16.945115566253662
Rodada 1, Cliente 0, Epoca 13, G_loss 9.43214934306456, D_loss 0.016615227069991762, Tempo 27.493568420410156
Rodada 1, Cliente 3, Epoca 19, G_loss 11.446823471470884, D_loss 0.02277657064780789, Tempo 17.485549211502075
Rodada 1, Cliente 2, Epoca 21, G_loss 6.902625925085518, D_loss 0.04129942475060744, Tempo 16.91326403617859
Rodada 1, Cliente 1, Epoca 14, G_loss 8.23385911904196, D_loss 0.08175152709071269, Tempo 26.205679893493652
Rodada 1, Cliente 3, Epoca 20, G_loss 13.348123093655236, D_loss 0.03820717124035582, Tempo 18.3251314163208
Rodada 1, Cliente 0, Epoca 14, G_loss 13.414988173651942, D_loss 0.0007286942682341597, Tempo 27.372148036956787
Rodada 1, Cliente 2, Epoca 22, G_loss 6.065703067551838, D_loss 0.1144409663420958, Tempo 16.60721445083618
Rodada 1, Cliente 3, Epoca 21, G_loss 13.579712039545962, D_loss 0.005253567838908088, Tempo 18.0059711933136
Rodada 1, Cliente 1, Epoca 15, G_loss 10.045525536418385, D_loss 0.05523088533824659, Tempo 26.088284969329834
Rodada 1, Cliente 2, Epoca 23, G_loss 6.903626595990041, D_loss 0.053557325007388724, Tempo 16.85283637046814
Rodada 1, Cliente 0, Epoca 15, G_loss 22.59947141339279, D_loss 0.0005842321698146178, Tempo 27.430558443069458
Rodada 1, Cliente 3, Epoca 22, G_loss 17.228720439107793, D_loss 0.00019671084607436666, Tempo 17.82218289375305
Rodada 1, Cliente 2, Epoca 24, G_loss 8.327931380004026, D_loss 0.03821494328015055, Tempo 16.78458833694458
Rodada 1, Cliente 1, Epoca 16, G_loss 10.724199398132406, D_loss 0.06544975121072345, Tempo 26.190659761428833
Rodada 1, Cliente 3, Epoca 23, G_loss 16.466724526254755, D_loss 0.0004054940184448098, Tempo 18.3277268409729
Rodada 1, Cliente 2, Epoca 25, G_loss 6.405340119694056, D_loss 0.0703526217604234, Tempo 17.023107528686523
Rodada 1, Cliente 0, Epoca 16, G_loss 47.94658124733627, D_loss 3.212242171428246e-06, Tempo 26.993456602096558
Rodada 1, Cliente 1, Epoca 17, G_loss 12.416659699697412, D_loss 0.046145434732659925, Tempo 26.95908546447754
Rodada 1, Cliente 3, Epoca 24, G_loss 17.407448201430473, D_loss 7.762122313818652e-05, Tempo 17.599727869033813
Rodada 1, Cliente 2, Epoca 26, G_loss 6.663343828715635, D_loss 0.06971390693045608, Tempo 16.482260704040527
Rodada 1, Cliente 0, Epoca 17, G_loss 47.680772604401575, D_loss 1.6384429415740906e-06, Tempo 27.905237674713135
Rodada 1, Cliente 3, Epoca 25, G_loss 18.85149204856471, D_loss 2.0892090866422414e-05, Tempo 18.237504959106445
Rodada 1, Cliente 2, Epoca 27, G_loss 9.024037618315623, D_loss 0.03197323710190156, Tempo 17.364769220352173
Rodada 1, Cliente 1, Epoca 18, G_loss 11.277165957617166, D_loss 0.06720585351689923, Tempo 26.112523078918457
Rodada 1, Cliente 2, Epoca 28, G_loss 7.447885891024986, D_loss 0.029486702506975243, Tempo 17.459400415420532
Rodada 1, Cliente 3, Epoca 26, G_loss 19.890342100043046, D_loss 9.37096958511431e-06, Tempo 18.487616062164307
Rodada 1, Cliente 0, Epoca 18, G_loss 47.384857820071716, D_loss 1.1046281005936397e-06, Tempo 26.511992931365967
Rodada 1, Cliente 1, Epoca 19, G_loss 15.180217199902518, D_loss 0.000367710039058822, Tempo 26.422049283981323
Rodada 1, Cliente 2, Epoca 29, G_loss 7.25915039523264, D_loss 0.08787959740232948, Tempo 16.99119520187378
Rodada 1, Cliente 3, Epoca 27, G_loss 20.436549036126387, D_loss 4.95711146509405e-06, Tempo 18.03530979156494
Rodada 1, Cliente 0, Epoca 19, G_loss 47.20839953340616, D_loss 8.172919877387196e-07, Tempo 27.697887897491455
Rodada 1, Cliente 2, Epoca 30, G_loss 6.371339812707365, D_loss 0.0396838472996514, Tempo 17.209354877471924
Rodada 1, Cliente 3, Epoca 28, G_loss 19.80359377610056, D_loss 1.0276155046540225e-05, Tempo 18.235729455947876
Rodada 1, Cliente 1, Epoca 20, G_loss 16.023255019001265, D_loss 0.00040971728920899804, Tempo 25.676228046417236
Rodada 1, Cliente 2, Epoca 31, G_loss 8.504379272460938, D_loss 0.02631340814036009, Tempo 16.799343585968018
Rodada 1, Cliente 3, Epoca 29, G_loss 19.775959838064093, D_loss 1.966103652977692e-05, Tempo 18.07674741744995
Rodada 1, Cliente 0, Epoca 20, G_loss 47.132984934803545, D_loss 6.361138274329914e-07, Tempo 27.190925359725952
Rodada 1, Cliente 1, Epoca 21, G_loss 14.969366572505638, D_loss 0.016869176919683985, Tempo 26.92082166671753
Rodada 1, Cliente 2, Epoca 32, G_loss 8.18154446462567, D_loss 0.01174860016777693, Tempo 16.26962637901306
Rodada 1, Cliente 3, Epoca 30, G_loss 21.93008451963726, D_loss 0.06196227181798415, Tempo 18.371140956878662
Rodada 1, Cliente 0, Epoca 21, G_loss 46.99611957458286, D_loss 5.127092232916377e-07, Tempo 27.949210166931152
Rodada 1, Cliente 2, Epoca 33, G_loss 9.319444142030866, D_loss 0.040182041925975916, Tempo 17.25191879272461
Rodada 1, Cliente 1, Epoca 22, G_loss 13.216237553498075, D_loss 0.0019409420233921254, Tempo 26.67451500892639
Rodada 1, Cliente 3, Epoca 31, G_loss 33.30601023108159, D_loss 0.0341423956326492, Tempo 18.180452346801758
Rodada 1, Cliente 2, Epoca 34, G_loss 7.902038370625356, D_loss 0.036364401412049954, Tempo 16.49860167503357
Rodada 1, Cliente 0, Epoca 22, G_loss 46.84014283013098, D_loss 4.1948675920174483e-07, Tempo 27.065217971801758
Rodada 1, Cliente 3, Epoca 32, G_loss 38.69513750829195, D_loss 0.003279727752723566, Tempo 18.2187283039093
Rodada 1, Cliente 1, Epoca 23, G_loss 13.15624330900742, D_loss 0.012744568497929999, Tempo 27.019547939300537
Rodada 1, Cliente 2, Epoca 35, G_loss 7.830819695183401, D_loss 0.02496358426909088, Tempo 16.687716245651245
Rodada 1, Cliente 3, Epoca 33, G_loss 13.117101011778178, D_loss 0.0025392007008026426, Tempo 18.191876649856567
Rodada 1, Cliente 0, Epoca 23, G_loss 46.66886201838857, D_loss 3.4960824585679686e-07, Tempo 27.604766368865967
Rodada 1, Cliente 2, Epoca 36, G_loss 7.6278832789217486, D_loss 0.022456385611047645, Tempo 17.191755533218384
Rodada 1, Cliente 1, Epoca 24, G_loss 16.185452678449636, D_loss 0.0008216320752111629, Tempo 26.16418957710266
Rodada 1, Cliente 3, Epoca 34, G_loss 16.604658688996967, D_loss 0.0007004536623227116, Tempo 17.73436713218689
Rodada 1, Cliente 2, Epoca 37, G_loss 7.686790847376491, D_loss 0.07224354807717799, Tempo 16.86528968811035
Rodada 1, Cliente 0, Epoca 24, G_loss 46.26686535340404, D_loss 2.9428650109809926e-07, Tempo 27.38879632949829
Rodada 1, Cliente 3, Epoca 35, G_loss 19.103935116215755, D_loss 0.0018832999556868918, Tempo 18.200454235076904
Rodada 1, Cliente 1, Epoca 25, G_loss 14.26111081147109, D_loss 0.010293070343018606, Tempo 26.49742603302002
Rodada 1, Cliente 2, Epoca 38, G_loss 6.7126157806160744, D_loss 0.028755611225994033, Tempo 16.689907789230347
Rodada 1, Cliente 3, Epoca 36, G_loss 15.470142013148257, D_loss 0.00024409678968176626, Tempo 18.170286893844604
Rodada 1, Cliente 2, Epoca 39, G_loss 8.826109969214107, D_loss 0.005118776977898061, Tempo 17.552427530288696
Rodada 1, Cliente 0, Epoca 25, G_loss 70.46762385810773, D_loss 4.7010689860411694e-05, Tempo 27.305824756622314
Rodada 1, Cliente 1, Epoca 26, G_loss 14.922436676839917, D_loss 0.0013222174887837792, Tempo 26.20407247543335
Rodada 1, Cliente 3, Epoca 37, G_loss 16.13937002483167, D_loss 4.669588467406452e-05, Tempo 17.536900997161865
Rodada 1, Cliente 2, Epoca 40, G_loss 8.31631070442414, D_loss 0.07748687630403131, Tempo 16.777738571166992
Rodada 1, Cliente 0, Epoca 26, G_loss 75.65050839558499, D_loss 3.0885702489209e-07, Tempo 27.883471727371216
Rodada 1, Cliente 3, Epoca 38, G_loss 16.88998633434898, D_loss 2.3578309532910537e-05, Tempo 18.313483715057373
