Cliente 2: Epoca: 11, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.3361
Cliente 2: Epoca: 12, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.3497
Cliente 2: Epoca: 13, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.4581
Cliente 2: Epoca: 14, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.6765
Cliente 2: Epoca: 15, D_loss: 50.0000, G_loss: 100.0000, Tempo: 13.4255
Cliente 2: Epoca: 16, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5666
Cliente 2: Epoca: 17, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.4771
Cliente 2: Epoca: 18, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.8934
Cliente 2: Epoca: 19, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.6770
Cliente 2: Epoca: 20, D_loss: 50.0000, G_loss: 100.0000, Tempo: 12.8356
Cliente 2: Epoca: 21, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.2266
Cliente 2: Epoca: 22, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7067
Cliente 2: Epoca: 23, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5444
Cliente 2: Epoca: 24, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5653
Cliente 2: Epoca: 25, D_loss: 50.0000, G_loss: 100.0000, Tempo: 13.1819
Cliente 2: Epoca: 26, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.9193
Cliente 2: Epoca: 27, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5299
Cliente 2: Epoca: 28, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5080
Cliente 2: Epoca: 29, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7766
Cliente 2: Epoca: 30, D_loss: 50.0000, G_loss: 100.0000, Tempo: 12.9802
Cliente 2: Epoca: 31, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.0277
Cliente 2: Epoca: 32, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5864
Cliente 2: Epoca: 33, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.2881
Cliente 2: Epoca: 34, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.3893
Cliente 2: Epoca: 35, D_loss: 50.0000, G_loss: 100.0000, Tempo: 13.1686
Cliente 2: Epoca: 36, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.8255
Cliente 2: Epoca: 37, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5237
Cliente 2: Epoca: 38, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7766
Cliente 2: Epoca: 39, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7359
Cliente 2: Epoca: 40, D_loss: 50.0000, G_loss: 100.0000, Tempo: 12.6162
Cliente 2: Epoca: 41, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7226
Cliente 2: Epoca: 42, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.2907
Cliente 2: Epoca: 43, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.1098
Cliente 2: Epoca: 44, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.2306
Cliente 2: Epoca: 45, D_loss: 50.0000, G_loss: 100.0000, Tempo: 13.0141
Cliente 2: Epoca: 46, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.9358
Cliente 2: Epoca: 47, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.9164
Cliente 2: Epoca: 48, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.3059
